OBJECTID_1,ZCTA5CE10,FIRST_STAT,FIRST_GEOI,FIRST_CLAS,FIRST_MTFC,FIRST_FUNC,ZCTA5N,STATE,AREALAND,AREAWATR,POP100,HU100,NHW,NHB,NHAI,NHA,NHNH,NHO,NHT,HISP,PNHW,PNHB,PNHAI,PNHA,PNHNH,PNHO,PNHT,PHISP,POP65_,PCTPOP65_,MEDAGE,VACNS,PVACNS,PHOWN,PWOMORT,PRENT,PLT18SP,REPORT_2_P,REPORT_9_P,Shape_Length,Shape_Area
433,21841,24,2421841,B5,G6350,S,21841,24,79837188,2394949,860,394,685,139,0,10,0,9,9,8,79.7,16.2,0,1.2,0,1,1,0.9,133,15.5,43.6,40,10.2,53.8,33.7,18.9,24.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21841.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21841.pdf,82230.216149709,131064453.983669
434,21842,24,2421842,B5,G6350,S,21842,24,23029459,17197937,11089,32844,9987,244,21,132,0,28,132,545,90.1,2.2,0.2,1.2,0,0.3,1.2,4.9,2836,25.6,50.6,4162,12.7,43.2,39.2,29,32.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21842.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21842.pdf,202150.406636042,37960246.0779715
435,21849,24,2421849,B5,G6350,S,21849,24,90013651,345848,3238,1375,2867,186,6,42,0,5,60,72,88.5,5.7,0.2,1.3,0,0.2,1.9,2.2,445,13.7,42.3,109,7.9,54.7,32.3,19.2,33.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21849.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21849.pdf,91658.8953563229,147252751.492764
436,21850,24,2421850,B5,G6350,S,21850,24,80528167,180164,2790,1279,2545,100,4,38,0,4,47,52,91.2,3.6,0.1,1.4,0,0.1,1.7,1.9,369,13.2,40.5,109,8.5,52.7,30.6,24,35.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21850.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21850.pdf,92223.2090845055,131428375.135488
437,21851,24,2421851,B5,G6350,S,21851,24,273836833,5198199,7315,3365,4335,2527,26,117,0,13,137,160,59.3,34.5,0.4,1.6,0,0.2,1.9,2.2,1224,16.7,41.7,398,11.8,42.2,35.7,34.3,47.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21851.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21851.pdf,144310.918106737,450744002.653349
438,21853,24,2421853,B5,G6350,S,21853,24,308185662,26000207,11126,4431,4207,6158,24,88,1,30,216,402,37.8,55.3,0.2,0.8,0,0.3,1.9,3.6,1255,11.3,25,459,10.4,33.1,35.1,48.9,50.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21853.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21853.pdf,340605.672526538,501036253.275269
439,21856,24,2421856,B5,G6350,S,21856,24,90719319,9021175,1035,440,704,280,2,6,0,0,21,22,68,27.1,0.2,0.6,0,0,2,2.1,168,16.2,43,58,13.2,56.4,28.9,20.6,26.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21856.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21856.pdf,152492.857767991,147961393.252124
440,21861,24,2421861,B5,G6350,S,21861,24,6787689,1260110,757,337,686,42,0,3,0,0,12,14,90.6,5.5,0,0.4,0,0,1.6,1.8,117,15.5,40.9,29,8.6,47.6,41.6,18.5,31,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21861.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21861.pdf,22684.9711397688,11112071.3378357
441,21862,24,2421862,B5,G6350,S,21862,24,3289065,5474,106,54,90,5,2,6,0,0,0,3,84.9,4.7,1.9,5.7,0,0,0,2.8,14,13.2,46,7,13,25.5,50,48.9,25,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21862.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21862.pdf,17481.7496295527,5372092.29304705
442,21863,24,2421863,B5,G6350,S,21863,24,300061689,9781536,5029,2192,3346,1447,12,39,0,9,78,98,66.5,28.8,0.2,0.8,0,0.2,1.6,1.9,866,17.2,44.3,224,10.2,45.6,35.9,28.8,43.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21863.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21863.pdf,208643.175691919,492183275.25894
443,21864,24,2421864,B5,G6350,S,21864,24,55088003,6539888,611,309,460,118,2,2,0,0,14,15,75.3,19.3,0.3,0.3,0,0,2.3,2.5,107,17.5,45.5,54,17.5,52.1,34,21.1,29.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21864.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21864.pdf,91947.0404208801,89805112.4801464
444,21865,24,2421865,B5,G6350,S,21865,24,41813534,10319144,470,286,393,69,0,1,0,0,2,5,83.6,14.7,0,0.2,0,0,0.4,1.1,107,22.8,51,38,13.3,55.1,36.7,13,42.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21865.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21865.pdf,111500.617759157,68014268.7890335
